time	V(N001,N002)	V(N003,N004)	V(ve)	I(I1)	I(R4)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e-004	0.000000e+000
4.999999719812465e-011	5.066395e-007	4.999980e-006	2.265055e-001	1.000000e-004	7.500000e-005
9.999999439624929e-011	9.834766e-007	9.999960e-006	3.020110e-001	1.000000e-004	1.000000e-004
1.428579999999520e-005	1.428369e-001	1.427521e+000	1.872358e+000	1.000000e-004	1.000000e-004
2.857149999999600e-005	2.856322e-001	2.853013e+000	3.440645e+000	1.000000e-004	1.000000e-004
4.285719999999681e-005	4.283870e-001	4.276484e+000	5.006871e+000	1.000000e-004	1.000000e-004
5.714289999999761e-005	5.711012e-001	5.697934e+000	6.571036e+000	1.000000e-004	1.000000e-004
7.142859999999842e-005	7.137749e-001	7.117365e+000	8.133140e+000	1.000000e-004	1.000000e-004
8.571429999999922e-005	8.564080e-001	8.534775e+000	9.693183e+000	1.000000e-004	1.000000e-004
9.999999999999999e-005	9.990005e-001	9.950165e+000	1.125117e+001	1.000000e-004	1.000000e-004
1.000010000000000e-004	9.990005e-001	9.950163e+000	1.064716e+001	-1.000000e-004	-1.000000e-004
1.142865714285714e-004	8.558807e-001	8.508467e+000	9.062348e+000	-1.000000e-004	-1.000000e-004
1.285721428571429e-004	7.128014e-001	7.068809e+000	7.479610e+000	-1.000000e-004	-1.000000e-004
1.428577142857143e-004	5.697627e-001	5.631189e+000	5.898952e+000	-1.000000e-004	-1.000000e-004
1.571432857142857e-004	4.267646e-001	4.195608e+000	4.320372e+000	-1.000000e-004	-1.000000e-004
1.714288571428572e-004	2.838071e-001	2.762064e+000	2.743871e+000	-1.000000e-004	-1.000000e-004
1.857144285714286e-004	1.408902e-001	1.330558e+000	1.169449e+000	-1.000000e-004	-1.000000e-004
2.000000000000000e-004	-1.986146e-003	-9.890904e-002	-4.028952e-001	-1.000000e-004	-1.000000e-004
2.000010000000000e-004	-1.991101e-003	-9.895853e-002	-1.009496e-001	0.000000e+000	-9.181544e-015
2.470864379371787e-004	-1.989223e-003	-9.849368e-002	-1.004829e-001	0.000000e+000	0.000000e+000
2.500000000000000e-004	-1.989111e-003	-9.846498e-002	-1.#IND00e+000	-1.#IND00e+000	-1.#IND00e+000
