time	V(N001,N002)	V(ve)	V(n001)	V(n002)	V(n003)	V(n004)	I(C1)	I(C2)	I(I1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-009	5.006790e-005	1.502100e+000	1.501100e+000	1.501050e+000	1.050010e-003	1.000000e-003	1.000000e-004	9.999999e-005	1.000000e-004	1.000000e-004	5.001000e-012	1.000200e-011	1.000000e-004	1.000000e-004
1.428657142857143e-005	1.426478e+000	4.356026e+000	4.355026e+000	2.928548e+000	1.428548e+000	1.000000e-003	9.985725e-005	9.971471e-005	1.000000e-004	1.000000e-004	1.427548e-007	2.852955e-007	1.000000e-004	1.000000e-004
2.857214285714286e-005	2.848885e+000	7.203912e+000	7.202911e+000	4.354027e+000	2.854027e+000	1.000000e-003	9.971470e-005	9.943022e-005	1.000000e-004	1.000000e-004	2.853027e-007	5.697770e-007	1.000000e-004	1.000000e-004
4.285771428571430e-005	4.267271e+000	1.004576e+001	1.004476e+001	5.777485e+000	4.277485e+000	1.000000e-003	9.957235e-005	9.914655e-005	1.000000e-004	1.000000e-004	4.276485e-007	8.534543e-007	1.000000e-004	1.000000e-004
5.714328571428573e-005	5.681637e+000	1.288156e+001	1.288056e+001	7.198923e+000	5.698923e+000	1.000000e-003	9.943021e-005	9.886367e-005	1.000000e-004	1.000000e-004	5.697923e-007	1.136328e-006	1.000000e-004	1.000000e-004
7.142885714285716e-005	7.091983e+000	1.571132e+001	1.571032e+001	8.618340e+000	7.118340e+000	1.000000e-003	9.928826e-005	9.858160e-005	1.000000e-004	1.000000e-004	7.117340e-007	1.418397e-006	1.000000e-004	1.000000e-004
8.571442857142860e-005	8.498308e+000	1.853505e+001	1.853405e+001	1.003574e+001	8.535738e+000	1.000000e-003	9.914652e-005	9.830034e-005	1.000000e-004	1.000000e-004	8.534738e-007	1.699662e-006	1.000000e-004	1.000000e-004
9.999999999999999e-005	9.900613e+000	2.135273e+001	2.135173e+001	1.145112e+001	9.951116e+000	1.000000e-003	9.900499e-005	9.801987e-005	1.000000e-004	1.000000e-004	9.950115e-007	1.980123e-006	1.000000e-004	1.000000e-004
1.000010000000000e-004	9.900610e+000	1.834872e+001	1.834972e+001	8.449114e+000	9.949114e+000	-1.000000e-003	-1.009950e-004	-1.019801e-004	-1.000000e-004	-1.000000e-004	9.950114e-007	1.980122e-006	-1.000000e-004	-1.000000e-004
1.142865714285714e-004	8.445950e+000	1.545237e+001	1.545337e+001	7.007418e+000	8.507418e+000	-1.000000e-003	-1.008508e-004	-1.016892e-004	-1.000000e-004	-1.000000e-004	8.508418e-007	1.689190e-006	-1.000000e-004	-1.000000e-004
1.285721428571429e-004	6.995386e+000	1.256215e+001	1.256315e+001	5.567760e+000	7.067760e+000	-1.000000e-003	-1.007069e-004	-1.013991e-004	-1.000000e-004	-1.000000e-004	7.068760e-007	1.399077e-006	-1.000000e-004	-1.000000e-004
1.428577142857143e-004	5.548918e+000	9.678058e+000	9.679058e+000	4.130140e+000	5.630140e+000	-1.000000e-003	-1.005631e-004	-1.011098e-004	-1.000000e-004	-1.000000e-004	5.631140e-007	1.109784e-006	-1.000000e-004	-1.000000e-004
1.571432857142857e-004	4.106545e+000	6.800104e+000	6.801104e+000	2.694558e+000	4.194559e+000	-1.000000e-003	-1.004196e-004	-1.008213e-004	-1.000000e-004	-1.000000e-004	4.195558e-007	8.213091e-007	-1.000000e-004	-1.000000e-004
1.714288571428572e-004	2.668268e+000	3.928283e+000	3.929283e+000	1.261015e+000	2.761015e+000	-1.000000e-003	-1.002762e-004	-1.005337e-004	-1.000000e-004	-1.000000e-004	2.762015e-007	5.336536e-007	-1.000000e-004	-1.000000e-004
1.857144285714286e-004	1.234086e+000	1.062596e+000	1.063596e+000	-1.704907e-001	1.329509e+000	-1.000000e-003	-1.001330e-004	-1.002468e-004	-1.000000e-004	-1.000000e-004	1.330509e-007	2.468173e-007	-1.000000e-004	-1.000000e-004
2.000000000000000e-004	-1.959997e-001	-1.796958e+000	-1.795958e+000	-1.599958e+000	-9.995804e-002	-1.000000e-003	-9.999010e-005	-9.996080e-005	-1.000000e-004	-1.000000e-004	-9.895803e-009	-3.919995e-008	-1.000000e-004	-1.000000e-004
2.000010000000000e-004	-1.960492e-001	-2.950567e-001	-2.950567e-001	-9.900752e-002	-9.900752e-002	4.399259e-015	9.900753e-009	3.920984e-008	0.000000e+000	4.411582e-016	-9.900753e-009	-3.920984e-008	0.000000e+000	4.399259e-016
2.500000000000000e-004	-1.940985e-001	-2.926123e-001	-2.926123e-001	-9.851374e-002	-9.851374e-002	3.529078e-017	9.851373e-009	3.881971e-008	0.000000e+000	3.532359e-018	-9.851373e-009	-3.881971e-008	0.000000e+000	3.529078e-018
2.500010000000000e-004	-1.940479e-001	1.209489e+000	1.208489e+000	1.402537e+000	-9.746323e-002	1.000000e-003	1.000098e-004	1.000388e-004	1.000000e-004	1.000000e-004	-9.846323e-009	-3.880960e-008	1.000000e-004	1.000000e-004
2.642865714285715e-004	1.232920e+000	4.064090e+000	4.063090e+000	2.830170e+000	1.330170e+000	1.000000e-003	9.986709e-005	9.975342e-005	1.000000e-004	1.000000e-004	1.329170e-007	2.465840e-007	1.000000e-004	1.000000e-004
2.785721428571429e-004	2.655871e+000	6.912655e+000	6.911656e+000	4.255784e+000	2.755784e+000	1.000000e-003	9.972452e-005	9.946883e-005	1.000000e-004	1.000000e-004	2.754785e-007	5.311742e-007	1.000000e-004	1.000000e-004
2.928577142857143e-004	4.074804e+000	9.755184e+000	9.754185e+000	5.679381e+000	4.179381e+000	1.000000e-003	9.958216e-005	9.918504e-005	1.000000e-004	1.000000e-004	4.178381e-007	8.149608e-007	1.000000e-004	1.000000e-004
3.071432857142857e-004	5.489719e+000	1.259168e+001	1.259068e+001	7.100959e+000	5.600959e+000	1.000000e-003	9.944001e-005	9.890206e-005	1.000000e-004	1.000000e-004	5.599959e-007	1.097944e-006	1.000000e-004	1.000000e-004
3.214288571428572e-004	6.900617e+000	1.542214e+001	1.542114e+001	8.520519e+000	7.020519e+000	1.000000e-003	9.929805e-005	9.861988e-005	1.000000e-004	1.000000e-004	7.019519e-007	1.380123e-006	1.000000e-004	1.000000e-004
3.357144285714286e-004	8.307497e+000	1.824656e+001	1.824556e+001	9.938061e+000	8.438061e+000	1.000000e-003	9.915629e-005	9.833850e-005	1.000000e-004	1.000000e-004	8.437060e-007	1.661499e-006	1.000000e-004	1.000000e-004
3.500000000000000e-004	9.710360e+000	2.106495e+001	2.106394e+001	1.135358e+001	9.853584e+000	1.000000e-003	9.901474e-005	9.805793e-005	1.000000e-004	1.000000e-004	9.852583e-007	1.942072e-006	1.000000e-004	1.000000e-004
3.500010000000000e-004	9.710358e+000	1.806094e+001	1.806194e+001	8.351582e+000	9.851582e+000	-1.000000e-003	-1.009853e-004	-1.019421e-004	-1.000000e-004	-1.000000e-004	9.852582e-007	1.942072e-006	-1.000000e-004	-1.000000e-004
3.642865714285715e-004	8.256241e+000	1.516527e+001	1.516627e+001	6.910025e+000	8.410025e+000	-1.000000e-003	-1.008411e-004	-1.016512e-004	-1.000000e-004	-1.000000e-004	8.411025e-007	1.651248e-006	-1.000000e-004	-1.000000e-004
3.785721428571429e-004	6.806219e+000	1.227572e+001	1.227672e+001	5.470506e+000	6.970506e+000	-1.000000e-003	-1.006972e-004	-1.013612e-004	-1.000000e-004	-1.000000e-004	6.971506e-007	1.361244e-006	-1.000000e-004	-1.000000e-004
3.928577142857143e-004	5.360290e+000	9.392315e+000	9.393315e+000	4.033025e+000	5.533025e+000	-1.000000e-003	-1.005534e-004	-1.010721e-004	-1.000000e-004	-1.000000e-004	5.534025e-007	1.072058e-006	-1.000000e-004	-1.000000e-004
4.071432857142857e-004	3.918455e+000	6.515037e+000	6.516038e+000	2.597582e+000	4.097582e+000	-1.000000e-003	-1.004099e-004	-1.007837e-004	-1.000000e-004	-1.000000e-004	4.098582e-007	7.836910e-007	-1.000000e-004	-1.000000e-004
4.214288571428572e-004	2.480715e+000	3.643891e+000	3.644892e+000	1.164177e+000	2.664177e+000	-1.000000e-003	-1.002665e-004	-1.004961e-004	-1.000000e-004	-1.000000e-004	2.665177e-007	4.961429e-007	-1.000000e-004	-1.000000e-004
4.357144285714286e-004	1.047068e+000	7.788777e-001	7.798779e-001	-2.671901e-001	1.232810e+000	-1.000000e-003	-1.001234e-004	-1.002094e-004	-1.000000e-004	-1.000000e-004	1.233810e-007	2.094136e-007	-1.000000e-004	-1.000000e-004
4.500000000000000e-004	-3.824847e-001	-2.080004e+000	-2.079004e+000	-1.696519e+000	-1.965193e-001	-1.000000e-003	-9.998045e-005	-9.992351e-005	-1.000000e-004	-1.000000e-004	-1.955194e-008	-7.649692e-008	-1.000000e-004	-1.000000e-004
4.500010000000000e-004	-3.825341e-001	-5.781029e-001	-5.781029e-001	-1.955688e-001	-1.955688e-001	9.020562e-015	1.955688e-008	7.650682e-008	0.000000e+000	8.769041e-016	-1.955688e-008	-7.650681e-008	0.000000e+000	9.020562e-016
5.000000000000000e-004	-3.787278e-001	-5.733213e-001	-5.733213e-001	-1.945934e-001	-1.945934e-001	4.119968e-018	1.945934e-008	7.574557e-008	0.000000e+000	4.126329e-019	-1.945934e-008	-7.574557e-008	0.000000e+000	4.119968e-019
5.000010000000000e-004	-3.786772e-001	9.287798e-001	9.277798e-001	1.306457e+000	-1.935429e-001	1.000000e-003	1.000195e-004	1.000757e-004	1.000000e-004	1.000000e-004	-1.945429e-008	-7.573546e-008	1.000000e-004	1.000000e-004
5.142865714285714e-004	1.048818e+000	3.784045e+000	3.783045e+000	2.734227e+000	1.234227e+000	1.000000e-003	9.987668e-005	9.979023e-005	1.000000e-004	1.000000e-004	1.233227e-007	2.097635e-007	1.000000e-004	1.000000e-004
5.285721428571429e-004	2.472294e+000	6.633272e+000	6.632272e+000	4.159979e+000	2.659979e+000	1.000000e-003	9.973410e-005	9.950554e-005	1.000000e-004	1.000000e-004	2.658979e-007	4.944587e-007	1.000000e-004	1.000000e-004
5.428577142857143e-004	3.891750e+000	9.476462e+000	9.475463e+000	5.583712e+000	4.083712e+000	1.000000e-003	9.959173e-005	9.922165e-005	1.000000e-004	1.000000e-004	4.082712e-007	7.783501e-007	1.000000e-004	1.000000e-004
5.571432857142857e-004	5.307188e+000	1.231361e+001	1.231262e+001	7.005427e+000	5.505427e+000	1.000000e-003	9.944956e-005	9.893856e-005	1.000000e-004	1.000000e-004	5.504427e-007	1.061438e-006	1.000000e-004	1.000000e-004
