time	V(N001,N003)	V(N004,N005)	V(ve)	V(n002)	I(I1)	I(S1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000
1.000000000000000e-009	5.006790e-006	5.000993e-005	3.020550e-001	0.000000e+000	1.000000e-004	-6.041100e-013
1.428657142857143e-005	1.428397e-001	1.427548e+000	1.872388e+000	0.000000e+000	1.000000e-004	-3.744775e-012
2.857214285714286e-005	2.856338e-001	2.853026e+000	3.440660e+000	0.000000e+000	1.000000e-004	-6.881320e-012
4.285771428571430e-005	4.283872e-001	4.276484e+000	5.006872e+000	0.000000e+000	1.000000e-004	-1.001374e-011
5.714328571428573e-005	5.711000e-001	5.697922e+000	6.571022e+000	0.000000e+000	1.000000e-004	-1.314204e-011
7.142885714285716e-005	7.137723e-001	7.117340e+000	8.133112e+000	0.000000e+000	1.000000e-004	-1.626622e-011
8.571442857142860e-005	8.564039e-001	8.534737e+000	9.693142e+000	0.000000e+000	1.000000e-004	-1.938628e-011
9.999999999999999e-005	9.989948e-001	9.950115e+000	1.125111e+001	0.000000e+000	1.000000e-004	-2.250222e-011
1.000010000000000e-004	9.989948e-001	9.950113e+000	1.064711e+001	0.000000e+000	-1.000000e-004	-2.129422e-011
1.142865714285714e-004	8.558751e-001	8.508416e+000	9.062292e+000	0.000000e+000	-1.000000e-004	-1.812458e-011
1.285721428571429e-004	7.127960e-001	7.068758e+000	7.479554e+000	0.000000e+000	-1.000000e-004	-1.495911e-011
1.428577142857143e-004	5.697574e-001	5.631138e+000	5.898895e+000	0.000000e+000	-1.000000e-004	-1.179779e-011
1.571432857142857e-004	4.267594e-001	4.195556e+000	4.320315e+000	0.000000e+000	-1.000000e-004	-8.640631e-012
1.714288571428572e-004	2.838019e-001	2.762012e+000	2.743814e+000	0.000000e+000	-1.000000e-004	-5.487629e-012
1.857144285714286e-004	1.408850e-001	1.330507e+000	1.169392e+000	0.000000e+000	-1.000000e-004	-2.338784e-012
2.000000000000000e-004	-1.991361e-003	-9.896019e-002	-4.029515e-001	0.000000e+000	-1.000000e-004	8.059031e-013
2.000010000000000e-004	-1.996294e-003	-9.900969e-002	-1.010060e-001	0.000000e+000	0.000000e+000	2.020120e-013
2.100000000000000e-004	-1.995899e-003	-9.891073e-002	-1.009066e-001	0.000000e+000	0.000000e+000	2.018133e-013
2.100004946593594e-004	-1.995899e-003	-9.891073e-002	-1.009066e-001	-9.893187e-001	0.000000e+000	2.018132e-013
2.100004994071397e-004	-1.995891e-003	-9.891070e-002	-8.408885e-002	-9.988143e-001	0.000000e+000	5.568789e-006
2.100005007849262e-004	-1.995893e-003	-9.891073e-002	-6.162536e-002	-1.001570e+000	0.000000e+000	1.300911e-005
