time	V(N001,N002)	V(N003,N004)	V(ve)	I(I1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.000000e-004
4.999999719812465e-011	5.066395e-007	4.999980e-006	2.265055e-001	1.000000e-004
9.999999439624929e-011	9.834766e-007	9.999960e-006	3.020110e-001	1.000000e-004
5.000000000000000e-005	4.997497e-001	4.987520e+000	5.789270e+000	1.000000e-004
5.000100000000000e-005	4.997497e-001	4.987518e+000	5.185268e+000	-1.000000e-004
6.428671428571429e-005	3.567711e-001	3.552890e+000	3.607662e+000	-1.000000e-004
7.857242857142857e-005	2.138330e-001	2.120291e+000	2.032124e+000	-1.000000e-004
9.285814285714286e-005	7.093548e-002	6.897210e-001	4.586563e-001	-1.000000e-004
1.071438571428572e-004	-7.192152e-002	-7.388209e-001	-1.112743e+000	-1.000000e-004
1.214295714285714e-004	-2.147380e-001	-2.165334e+000	-2.682072e+000	-1.000000e-004
1.357152857142857e-004	-3.575140e-001	-3.589819e+000	-4.249333e+000	-1.000000e-004
1.500010000000000e-004	-5.002494e-001	-5.012275e+000	-5.814524e+000	-1.000000e-004
1.500020000000000e-004	-5.002489e-001	-5.012273e+000	-5.210523e+000	1.000000e-004
1.642874285714286e-004	-3.572729e-001	-3.577639e+000	-3.632912e+000	1.000000e-004
1.785728571428572e-004	-2.143375e-001	-2.145033e+000	-2.057371e+000	1.000000e-004
1.928582857142857e-004	-7.144270e-002	-7.144561e-001	-4.838989e-001	1.000000e-004
2.071437142857143e-004	7.141158e-002	7.140925e-001	1.087504e+000	1.000000e-004
2.214291428571429e-004	2.142253e-001	2.140613e+000	2.656838e+000	1.000000e-004
2.357145714285714e-004	3.569985e-001	3.565104e+000	4.224103e+000	1.000000e-004
2.500000000000000e-004	4.997311e-001	4.987567e+000	5.789298e+000	1.000000e-004
2.500010000000000e-004	4.997311e-001	4.987566e+000	5.185297e+000	-1.000000e-004
2.642867142857143e-004	3.567522e-001	3.552938e+000	3.607690e+000	-1.000000e-004
2.785724285714286e-004	2.138140e-001	2.120339e+000	2.032153e+000	-1.000000e-004
2.928581428571428e-004	7.091639e-002	6.897679e-001	4.586845e-001	-1.000000e-004
3.071438571428571e-004	-7.194062e-002	-7.387740e-001	-1.112714e+000	-1.000000e-004
3.214295714285714e-004	-2.147570e-001	-2.165287e+000	-2.682044e+000	-1.000000e-004
3.357152857142857e-004	-3.575328e-001	-3.589772e+000	-4.249305e+000	-1.000000e-004
3.500010000000000e-004	-5.002680e-001	-5.012228e+000	-5.814496e+000	-1.000000e-004
3.500020000000000e-004	-5.002680e-001	-5.012227e+000	-5.210495e+000	1.000000e-004
3.642874285714285e-004	-3.572919e-001	-3.577592e+000	-3.632884e+000	1.000000e-004
3.785728571428571e-004	-2.143564e-001	-2.144987e+000	-2.057343e+000	1.000000e-004
3.928582857142857e-004	-7.146157e-002	-7.144094e-001	-4.838713e-001	1.000000e-004
4.071437142857143e-004	7.139271e-002	7.141391e-001	1.087532e+000	1.000000e-004
4.214291428571429e-004	2.142064e-001	2.140659e+000	2.656865e+000	1.000000e-004
4.357145714285714e-004	3.569795e-001	3.565150e+000	4.224130e+000	1.000000e-004
4.500000000000000e-004	4.997120e-001	4.987613e+000	5.789326e+000	1.000000e-004
4.500010000000000e-004	4.997125e-001	4.987612e+000	5.185324e+000	-1.000000e-004
4.642867142857142e-004	3.567336e-001	3.552984e+000	3.607717e+000	-1.000000e-004
4.785724285714285e-004	2.137953e-001	2.120385e+000	2.032180e+000	-1.000000e-004
4.928581428571428e-004	7.089762e-002	6.898142e-001	4.587119e-001	-1.000000e-004
5.071438571428571e-004	-7.195946e-002	-7.387278e-001	-1.112687e+000	-1.000000e-004
5.214295714285714e-004	-2.147759e-001	-2.165241e+000	-2.682017e+000	-1.000000e-004
5.357152857142857e-004	-3.575518e-001	-3.589726e+000	-4.249278e+000	-1.000000e-004
5.500009999999999e-004	-5.002871e-001	-5.012182e+000	-5.814469e+000	-1.000000e-004
5.500020000000000e-004	-5.002871e-001	-5.012181e+000	-5.210468e+000	1.000000e-004
5.642874285714286e-004	-3.573110e-001	-3.577547e+000	-3.632857e+000	1.000000e-004
5.785728571428571e-004	-2.143755e-001	-2.144941e+000	-2.057316e+000	1.000000e-004
5.928582857142857e-004	-7.148053e-002	-7.143638e-001	-4.838442e-001	1.000000e-004
6.071437142857142e-004	7.137382e-002	7.141847e-001	1.087559e+000	1.000000e-004
6.214291428571428e-004	2.141876e-001	2.140705e+000	2.656892e+000	1.000000e-004
6.357145714285715e-004	3.569608e-001	3.565196e+000	4.224157e+000	1.000000e-004
6.500000000000000e-004	4.996934e-001	4.987659e+000	5.789352e+000	1.000000e-004
6.500010000000000e-004	4.996929e-001	4.987657e+000	5.185350e+000	-1.000000e-004
6.642867142857143e-004	3.567144e-001	3.553029e+000	3.607744e+000	-1.000000e-004
6.785724285714286e-004	2.137764e-001	2.120430e+000	2.032207e+000	-1.000000e-004
6.928581428571429e-004	7.087891e-002	6.898596e-001	4.587383e-001	-1.000000e-004
7.071438571428572e-004	-7.197809e-002	-7.386825e-001	-1.112661e+000	-1.000000e-004
7.214295714285713e-004	-2.147946e-001	-2.165196e+000	-2.681991e+000	-1.000000e-004
7.357152857142856e-004	-3.575706e-001	-3.589681e+000	-4.249251e+000	-1.000000e-004
7.500009999999999e-004	-5.003061e-001	-5.012137e+000	-5.814443e+000	-1.000000e-004
7.500019999999999e-004	-5.003057e-001	-5.012136e+000	-5.210442e+000	1.000000e-004
7.642874285714286e-004	-3.573295e-001	-3.577501e+000	-3.632831e+000	1.000000e-004
7.785728571428571e-004	-2.143940e-001	-2.144896e+000	-2.057290e+000	1.000000e-004
7.928582857142857e-004	-7.149915e-002	-7.143189e-001	-4.838183e-001	1.000000e-004
8.071437142857142e-004	7.135513e-002	7.142295e-001	1.087584e+000	1.000000e-004
8.214291428571428e-004	2.141688e-001	2.140749e+000	2.656918e+000	1.000000e-004
8.357145714285714e-004	3.569419e-001	3.565241e+000	4.224183e+000	1.000000e-004
8.500000000000000e-004	4.996743e-001	4.987703e+000	5.789378e+000	1.000000e-004
8.500010000000000e-004	4.996743e-001	4.987702e+000	5.185376e+000	-1.000000e-004
8.642867142857143e-004	3.566956e-001	3.553074e+000	3.607770e+000	-1.000000e-004
8.785724285714286e-004	2.137574e-001	2.120475e+000	2.032232e+000	-1.000000e-004
8.928581428571429e-004	7.085985e-002	6.899038e-001	4.587638e-001	-1.000000e-004
9.071438571428571e-004	-7.199709e-002	-7.386383e-001	-1.112635e+000	-1.000000e-004
9.214295714285714e-004	-2.148134e-001	-2.165152e+000	-2.681965e+000	-1.000000e-004
9.357152857142857e-004	-3.575891e-001	-3.589637e+000	-4.249226e+000	-1.000000e-004
9.500009999999999e-004	-5.003242e-001	-5.012093e+000	-5.814417e+000	-1.000000e-004
9.500019999999999e-004	-5.003242e-001	-5.012092e+000	-5.210416e+000	1.000000e-004
9.642528571428605e-004	-3.576942e-001	-3.580927e+000	-3.636621e+000	1.000000e-004
9.785037142857210e-004	-2.151045e-001	-2.151781e+000	-2.064886e+000	1.000000e-004
9.927545714285815e-004	-7.255525e-002	-7.246541e-001	-4.952094e-001	1.000000e-004
1.007005428571442e-003	6.995367e-002	7.004544e-001	1.072408e+000	1.000000e-004
1.021256285714303e-003	2.124222e-001	2.123544e+000	2.637966e+000	1.000000e-004
1.035507142857163e-003	3.548504e-001	3.544615e+000	4.201465e+000	1.000000e-004
1.049758000000024e-003	4.972382e-001	4.963667e+000	5.762906e+000	1.000000e-004
1.049774000000024e-003	4.973979e-001	4.965259e+000	5.764657e+000	1.000000e-004
1.050000000000000e-003	4.996562e-001	4.987747e+000	5.789403e+000	1.000000e-004
1.050001000000000e-003	4.996557e-001	4.987745e+000	5.185401e+000	-1.000000e-004
1.064286714285714e-003	3.566770e-001	3.553117e+000	3.607795e+000	-1.000000e-004
