time	V(N001,N002)	V(N003,N004)	V(ve)	I(R4)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.999999719812465e-011	5.066395e-007	4.999980e-006	2.265055e-001	7.500000e-005
9.999999439624929e-011	9.834766e-007	9.999960e-006	3.020110e-001	1.000000e-004
5.000000000000000e-005	4.997497e-001	4.987520e+000	5.789270e+000	1.000000e-004
5.000100000000001e-005	4.997497e-001	4.987518e+000	5.185268e+000	-1.000000e-004
6.428657142857144e-005	3.567724e-001	3.552906e+000	3.607679e+000	-1.000000e-004
7.857214285714287e-005	2.138358e-001	2.120322e+000	2.032158e+000	-1.000000e-004
9.285771428571430e-005	7.093972e-002	6.897665e-001	4.587062e-001	-1.000000e-004
1.071432857142857e-004	-7.191579e-002	-7.387611e-001	-1.112677e+000	-1.000000e-004
1.214288571428572e-004	-2.147307e-001	-2.165261e+000	-2.681991e+000	-1.000000e-004
1.357144285714286e-004	-3.575051e-001	-3.589732e+000	-4.249237e+000	-1.000000e-004
1.500000000000000e-004	-5.002389e-001	-5.012175e+000	-5.814415e+000	-1.000000e-004
1.500010000000000e-004	-5.002389e-001	-5.012174e+000	-5.210413e+000	1.000000e-004
1.571437142857143e-004	-4.287463e-001	-4.294616e+000	-4.421363e+000	1.000000e-004
1.642864285714286e-004	-3.572636e-001	-3.577558e+000	-3.632821e+000	1.000000e-004
1.714291428571429e-004	-2.857908e-001	-2.860999e+000	-2.844789e+000	1.000000e-004
1.785718571428571e-004	-2.143280e-001	-2.144939e+000	-2.057267e+000	1.000000e-004
1.857145714285714e-004	-1.428751e-001	-1.429378e+000	-1.270253e+000	1.000000e-004
1.928572857142857e-004	-7.143210e-002	-7.143169e-001	-4.837489e-001	1.000000e-004
2.000000000000000e-004	9.536743e-007	2.452815e-004	3.022462e-001	1.000000e-004
2.000010000000000e-004	5.903246e-006	2.947816e-004	3.006848e-004	-4.102079e-017
2.465904242874555e-004	5.897746e-006	2.934114e-004	2.993091e-004	0.000000e+000
2.500000000000000e-004	5.897338e-006	2.933113e-004	-1.#IND00e+000	-1.#IND00e+000
