time	V(N001,N002)	V(ve)	V(n001)	V(n002)	V(n003)	V(n004)	I(C1)	I(C2)	I(I1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-009	5.006790e-005	1.502100e+000	1.501100e+000	1.501050e+000	1.050010e-003	1.000000e-003	1.000000e-004	9.999999e-005	1.000000e-004	1.000000e-004	5.001000e-012	1.000200e-011	1.000000e-004	1.000000e-004
5.000000000000000e-005	4.975031e+000	1.146450e+001	1.146350e+001	6.488470e+000	4.988470e+000	1.000000e-003	9.950125e-005	9.900500e-005	1.000000e-004	1.000000e-004	4.987470e-007	9.950063e-007	1.000000e-004	1.000000e-004
5.000100000000001e-005	4.975030e+000	8.460498e+000	8.461498e+000	3.486468e+000	4.986468e+000	-1.000000e-003	-1.004987e-004	-1.009950e-004	-1.000000e-004	-1.000000e-004	4.987468e-007	9.950058e-007	-1.000000e-004	-1.000000e-004
6.428657142857144e-005	3.534422e+000	5.585278e+000	5.586279e+000	2.051856e+000	3.551856e+000	-1.000000e-003	-1.003553e-004	-1.007069e-004	-1.000000e-004	-1.000000e-004	3.552856e-007	7.068844e-007	-1.000000e-004	-1.000000e-004
7.857214285714287e-005	2.097871e+000	2.716143e+000	2.717143e+000	6.192726e-001	2.119273e+000	-1.000000e-003	-1.002120e-004	-1.004196e-004	-1.000000e-004	-1.000000e-004	2.120273e-007	4.195741e-007	-1.000000e-004	-1.000000e-004
9.285771428571430e-005	6.653749e-001	-1.469082e-001	-1.459081e-001	-8.112831e-001	6.887170e-001	-1.000000e-003	-1.000690e-004	-1.001331e-004	-1.000000e-004	-1.000000e-004	6.897170e-008	1.330750e-007	-1.000000e-004	-1.000000e-004
1.071432857142857e-004	-7.630648e-001	-3.003875e+000	-3.002875e+000	-2.239811e+000	-7.398106e-001	-1.000000e-003	-9.992612e-005	-9.984739e-005	-1.000000e-004	-1.000000e-004	-7.388106e-008	-1.526129e-007	-1.000000e-004	-1.000000e-004
1.214288571428572e-004	-2.187448e+000	-5.854759e+000	-5.853759e+000	-3.666310e+000	-2.166310e+000	-1.000000e-003	-9.978347e-005	-9.956251e-005	-1.000000e-004	-1.000000e-004	-2.165310e-007	-4.374897e-007	-1.000000e-004	-1.000000e-004
1.357144285714286e-004	-3.607776e+000	-8.699558e+000	-8.698558e+000	-5.090781e+000	-3.590781e+000	-1.000000e-003	-9.964102e-005	-9.927844e-005	-1.000000e-004	-1.000000e-004	-3.589781e-007	-7.215552e-007	-1.000000e-004	-1.000000e-004
1.500000000000000e-004	-5.024048e+000	-1.153827e+001	-1.153727e+001	-6.513225e+000	-5.013225e+000	-1.000000e-003	-9.949878e-005	-9.899519e-005	-1.000000e-004	-1.000000e-004	-5.012225e-007	-1.004810e-006	-1.000000e-004	-1.000000e-004
1.500010000000000e-004	-5.024046e+000	-8.534269e+000	-8.535269e+000	-3.511223e+000	-5.011223e+000	1.000000e-003	1.005012e-004	1.010048e-004	1.000000e-004	1.000000e-004	-5.012223e-007	-1.004809e-006	1.000000e-004	1.000000e-004
1.571437142857143e-004	-4.303190e+000	-7.095855e+000	-7.096855e+000	-2.793665e+000	-4.293666e+000	1.000000e-003	1.004295e-004	1.008606e-004	1.000000e-004	1.000000e-004	-4.294665e-007	-8.606379e-007	1.000000e-004	1.000000e-004
1.642864285714286e-004	-3.583334e+000	-5.658941e+000	-5.659941e+000	-2.076607e+000	-3.576607e+000	1.000000e-003	1.003578e-004	1.007167e-004	1.000000e-004	1.000000e-004	-3.577607e-007	-7.166668e-007	1.000000e-004	1.000000e-004
1.714291428571429e-004	-2.864480e+000	-4.223528e+000	-4.224528e+000	-1.360048e+000	-2.860048e+000	1.000000e-003	1.002861e-004	1.005729e-004	1.000000e-004	1.000000e-004	-2.861048e-007	-5.728960e-007	1.000000e-004	1.000000e-004
1.785718571428571e-004	-2.146627e+000	-2.789614e+000	-2.790615e+000	-6.439881e-001	-2.143988e+000	1.000000e-003	1.002145e-004	1.004293e-004	1.000000e-004	1.000000e-004	-2.144988e-007	-4.293253e-007	1.000000e-004	1.000000e-004
1.857145714285714e-004	-1.429774e+000	-1.357201e+000	-1.358202e+000	7.157260e-002	-1.428427e+000	1.000000e-003	1.001429e-004	1.002860e-004	1.000000e-004	1.000000e-004	-1.429427e-007	-2.859548e-007	1.000000e-004	1.000000e-004
1.928572857142857e-004	-7.139227e-001	7.371152e-002	7.271131e-002	7.866340e-001	-7.133659e-001	1.000000e-003	1.000714e-004	1.001428e-004	1.000000e-004	1.000000e-004	-7.143659e-008	-1.427845e-007	1.000000e-004	1.000000e-004
2.000000000000000e-004	9.278059e-004	1.503124e+000	1.502124e+000	1.501196e+000	1.196284e-003	1.000000e-003	9.999998e-005	9.999982e-005	1.000000e-004	1.000000e-004	1.962844e-011	1.855512e-010	1.000000e-004	1.000000e-004
2.000010000000000e-004	9.772559e-004	1.223040e-003	1.223040e-003	2.457844e-004	2.457844e-004	-1.279359e-017	-2.457844e-011	-1.954512e-010	0.000000e+000	-1.411310e-018	2.457844e-011	1.954512e-010	0.000000e+000	-1.279359e-018
2.500000000000000e-004	9.675321e-004	1.212091e-003	1.212091e-003	2.445586e-004	2.445586e-004	-1.408192e-019	-2.445586e-011	-1.935064e-010	0.000000e+000	-1.403680e-020	2.445586e-011	1.935064e-010	0.000000e+000	-1.408192e-020
2.500010000000000e-004	1.018047e-003	1.503313e+000	1.502313e+000	1.501295e+000	1.295059e-003	1.000000e-003	9.999997e-005	9.999979e-005	1.000000e-004	1.000000e-004	2.950586e-011	2.036064e-010	1.000000e-004	1.000000e-004
3.000000000000000e-004	4.975992e+000	1.146571e+001	1.146471e+001	6.488715e+000	4.988715e+000	1.000000e-003	9.950123e-005	9.900480e-005	1.000000e-004	1.000000e-004	4.987715e-007	9.951984e-007	1.000000e-004	1.000000e-004
3.000010000000000e-004	4.975990e+000	8.461704e+000	8.462704e+000	3.486713e+000	4.986713e+000	-1.000000e-003	-1.004988e-004	-1.009952e-004	-1.000000e-004	-1.000000e-004	4.987713e-007	9.951981e-007	-1.000000e-004	-1.000000e-004
3.142865714285715e-004	3.535380e+000	5.586482e+000	5.587481e+000	2.052101e+000	3.552101e+000	-1.000000e-003	-1.003553e-004	-1.007071e-004	-1.000000e-004	-1.000000e-004	3.553101e-007	7.070760e-007	-1.000000e-004	-1.000000e-004
3.285721428571429e-004	2.098826e+000	2.717343e+000	2.718343e+000	6.195170e-001	2.119517e+000	-1.000000e-003	-1.002121e-004	-1.004198e-004	-1.000000e-004	-1.000000e-004	2.120517e-007	4.197652e-007	-1.000000e-004	-1.000000e-004
3.428577142857143e-004	6.663275e-001	-1.457113e-001	-1.447115e-001	-8.110390e-001	6.889610e-001	-1.000000e-003	-1.000690e-004	-1.001333e-004	-1.000000e-004	-1.000000e-004	6.899610e-008	1.332655e-007	-1.000000e-004	-1.000000e-004
3.571432857142857e-004	-7.621148e-001	-3.002682e+000	-3.001682e+000	-2.239567e+000	-7.395669e-001	-1.000000e-003	-9.992614e-005	-9.984758e-005	-1.000000e-004	-1.000000e-004	-7.385669e-008	-1.524230e-007	-1.000000e-004	-1.000000e-004
3.714288571428572e-004	-2.186501e+000	-5.853568e+000	-5.852568e+000	-3.666067e+000	-2.166067e+000	-1.000000e-003	-9.978349e-005	-9.956270e-005	-1.000000e-004	-1.000000e-004	-2.165067e-007	-4.373002e-007	-1.000000e-004	-1.000000e-004
3.857144285714286e-004	-3.606832e+000	-8.698370e+000	-8.697370e+000	-5.090538e+000	-3.590538e+000	-1.000000e-003	-9.964105e-005	-9.927863e-005	-1.000000e-004	-1.000000e-004	-3.589538e-007	-7.213663e-007	-1.000000e-004	-1.000000e-004
4.000000000000000e-004	-5.023106e+000	-1.153709e+001	-1.153609e+001	-6.512982e+000	-5.012982e+000	-1.000000e-003	-9.949880e-005	-9.899538e-005	-1.000000e-004	-1.000000e-004	-5.011982e-007	-1.004621e-006	-1.000000e-004	-1.000000e-004
4.000010000000000e-004	-5.023104e+000	-8.533085e+000	-8.534084e+000	-3.510981e+000	-5.010981e+000	1.000000e-003	1.005012e-004	1.010046e-004	1.000000e-004	1.000000e-004	-5.011980e-007	-1.004621e-006	1.000000e-004	1.000000e-004
4.071437142857143e-004	-4.302249e+000	-7.094672e+000	-7.095672e+000	-2.793423e+000	-4.293423e+000	1.000000e-003	1.004294e-004	1.008604e-004	1.000000e-004	1.000000e-004	-4.294423e-007	-8.604498e-007	1.000000e-004	1.000000e-004
4.142864285714286e-004	-3.582395e+000	-5.657760e+000	-5.658760e+000	-2.076365e+000	-3.576365e+000	1.000000e-003	1.003577e-004	1.007165e-004	1.000000e-004	1.000000e-004	-3.577365e-007	-7.164790e-007	1.000000e-004	1.000000e-004
4.214291428571429e-004	-2.863542e+000	-4.222348e+000	-4.223348e+000	-1.359806e+000	-2.859806e+000	1.000000e-003	1.002861e-004	1.005727e-004	1.000000e-004	1.000000e-004	-2.860806e-007	-5.727084e-007	1.000000e-004	1.000000e-004
4.285718571428571e-004	-2.145690e+000	-2.788436e+000	-2.789436e+000	-6.437460e-001	-2.143746e+000	1.000000e-003	1.002145e-004	1.004291e-004	1.000000e-004	1.000000e-004	-2.144746e-007	-4.291380e-007	1.000000e-004	1.000000e-004
4.357145714285714e-004	-1.428839e+000	-1.356024e+000	-1.357024e+000	7.181445e-002	-1.428186e+000	1.000000e-003	1.001429e-004	1.002858e-004	1.000000e-004	1.000000e-004	-1.429186e-007	-2.857678e-007	1.000000e-004	1.000000e-004
4.428572857142857e-004	-7.129889e-001	7.488699e-002	7.388683e-002	7.868757e-001	-7.131243e-001	1.000000e-003	1.000714e-004	1.001426e-004	1.000000e-004	1.000000e-004	-7.141244e-008	-1.425978e-007	1.000000e-004	1.000000e-004
4.500000000000000e-004	1.860261e-003	1.504298e+000	1.503298e+000	1.501438e+000	1.437716e-003	1.000000e-003	9.999995e-005	9.999963e-005	1.000000e-004	1.000000e-004	4.377158e-011	3.720524e-010	1.000000e-004	1.000000e-004
4.500010000000000e-004	1.909762e-003	2.396977e-003	2.396977e-003	4.872157e-004	4.872157e-004	-4.483176e-017	-4.872158e-011	-3.819523e-010	0.000000e+000	-4.547708e-018	4.872157e-011	3.819523e-010	0.000000e+000	-4.483176e-018
5.000000000000000e-004	1.890759e-003	2.375545e-003	2.375545e-003	4.847858e-004	4.847858e-004	2.541099e-021	-4.847858e-011	-3.781519e-010	0.000000e+000	2.565945e-022	4.847858e-011	3.781519e-010	0.000000e+000	2.541099e-022
