time	V(N001,N003)	V(N004,N005)	V(ve)	V(n002)	I(I1)	I(S1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-0.000000e+000
1.000000000000000e-009	5.006790e-006	5.000993e-005	3.020550e-001	0.000000e+000	1.000000e-004	-6.041100e-013
5.000000000000000e-005	4.997449e-001	4.987470e+000	5.789215e+000	0.000000e+000	1.000000e-004	-1.157843e-011
5.000100000000001e-005	4.997449e-001	4.987468e+000	5.185213e+000	0.000000e+000	-1.000000e-004	-1.037043e-011
6.428657142857144e-005	3.567676e-001	3.552856e+000	3.607624e+000	0.000000e+000	-1.000000e-004	-7.215247e-012
7.857214285714287e-005	2.138309e-001	2.120272e+000	2.032103e+000	0.000000e+000	-1.000000e-004	-4.064206e-012
9.285771428571430e-005	7.093471e-002	6.897165e-001	4.586512e-001	0.000000e+000	-1.000000e-004	-9.173024e-013
1.071432857142857e-004	-7.192086e-002	-7.388112e-001	-1.112732e+000	0.000000e+000	-1.000000e-004	2.225464e-012
1.214288571428572e-004	-2.147359e-001	-2.165311e+000	-2.682046e+000	0.000000e+000	-1.000000e-004	5.364093e-012
1.357144285714286e-004	-3.575103e-001	-3.589782e+000	-4.249292e+000	0.000000e+000	-1.000000e-004	8.498584e-012
1.500000000000000e-004	-5.002441e-001	-5.012225e+000	-5.814469e+000	0.000000e+000	-1.000000e-004	1.162894e-011
1.500010000000000e-004	-5.002441e-001	-5.012223e+000	-5.210467e+000	0.000000e+000	1.000000e-004	1.042093e-011
1.571437142857143e-004	-4.287513e-001	-4.294666e+000	-4.421417e+000	0.000000e+000	1.000000e-004	8.842834e-012
1.642864285714286e-004	-3.572685e-001	-3.577607e+000	-3.632876e+000	0.000000e+000	1.000000e-004	7.265752e-012
1.714291428571429e-004	-2.857956e-001	-2.861048e+000	-2.844844e+000	0.000000e+000	1.000000e-004	5.689688e-012
1.785718571428571e-004	-2.143328e-001	-2.144988e+000	-2.057321e+000	0.000000e+000	1.000000e-004	4.114642e-012
1.857145714285714e-004	-1.428799e-001	-1.429427e+000	-1.270307e+000	0.000000e+000	1.000000e-004	2.540615e-012
1.928572857142857e-004	-7.143697e-002	-7.143660e-001	-4.838030e-001	0.000000e+000	1.000000e-004	9.676059e-013
2.000000000000000e-004	-4.053116e-006	1.962947e-004	3.021923e-001	0.000000e+000	1.000000e-004	-6.043845e-013
2.000010000000000e-004	9.248033e-007	2.457948e-004	2.467196e-004	0.000000e+000	0.000000e+000	-4.934393e-016
2.100000000000000e-004	9.246287e-007	2.455492e-004	2.464738e-004	0.000000e+000	0.000000e+000	-4.929476e-016
2.100004993652344e-004	9.246287e-007	2.455492e-004	2.464738e-004	-9.987305e-001	0.000000e+000	-5.202993e-016
